village_name,pincode,post_so_name,taluka name,District_name,state name
Aalygodha,391150,"Jemalgadh B.O,Naswadi S.O",#N/A,#N/A,#N/A
ABADPURA,391121,"Vydhar B.O,Devaliya S.O",Tilakwada,Narmada,Gujarat
Abala,385320,"Chembuva B.O,Bhabhar S.O",Bhabhar,Banaskantha,Gujarat
Abalouva,384285,"Abluva B.O,Wagdod S.O",Saraswati,Patan,Gujarat
Abasana,382840,"Mandali B.O,Ladol S.O",Vijapur,Mehsana,Gujarat
Abasana,385320,"Balodhan B.O,Bhabhar S.O",Bhabhar,Banaskantha,Gujarat
Abasna,382120,"Abasana B.O,Detroj S.O",Detroj-Rampura,Ahmedabad,Gujarat
Abdalapura,391107,"Bhilapur B.O,Thuwavi S.O",Dabhoi,Vadodara,Gujarat
Abdasa,370511,"Akri moti B.O,Sanghipuram S.O",Abdasa,Kutch,Gujarat
ABG,370511,"Akri moti B.O,Sanghipuram S.O",Abdasa,Kutch,Gujarat
Abhankuva,394670,"Thuti B.O,Fort Songadh S.O",Uchchhal,Tapi,Gujarat
Abhapur,383245,"Mehru B.O,Bhiloda S.O",Bhiloda,Aravalli,Gujarat
Abhapur,383460,"Abhapur B.O,Vijaynagar S.O",Vijaynagar,Sabarkantha,Gujarat
Abhapura,385120,"Navavas B.O , Danta Bhavangadh S.O",Danta,Banaskantha,Gujarat
Abhara,391240,"Handod B.O,Miyagam Karjan S.O",Karjan,Vadodara,Gujarat
Abharampura,382820,"Tatosan B.O,Gerita Kolavda RS S.O",Vijapur,Mehsana,Gujarat
Abhepar,360035,"Chibhda B.O,Lodhika S.O",Lodhika,Rajkot,Gujarat
Abhetva ni muvadi,389350,"Tarkhanda B.O,Halol S.O",Halol,Panchmahal,Gujarat
Abhetva ni muvadi,389360,"Jepura B.O,Pavagadh S.O",Halol,Panchmahal,Gujarat
Abhetwa,389350,"Tarkhanda B.O,Halol S.O",Halol,Panchmahal,Gujarat
Abhlod,389152,"Abhlod B.O,Jesawada S.O",Garbada,Dahod,Gujarat
Abhol,391421,"Abhol B.O,Masar Road S.O",Padra,Vadodara,Gujarat
Abhrampara,364522,"Abhrampara B.O,Badhada S.O",Savar Kundla,Amreli,Gujarat
Abhrampura,391510,"Panchdevla B.O,Jarod S.O",Vaghodia,Vadodara,Gujarat
Abhranpura,387130,"Khatraj B.O,Mahemdavad S.O",Mehmedabad,Kheda,Gujarat
Abhripur,387335,"Abhripur B.O,Mahudha S.O",Kathlal,Kheda,Gujarat
Abhva,395007,"Abhva B.O,Svr College S.O",Chorasi,Surat,Gujarat
Abiyana,385360,"Abiyana B.O,Varahi S.O",Santalpur,Patan,Gujarat
Aboch,387650,"Abvel B.O,Nirmali S.O (Kheda)",Kapadvanj,Kheda,Gujarat
Abrama,394150,"Abrama B.O,Kathor S.O",Kamrej,Surat,Gujarat
Absang,364522,"Adsang B.O,Badhada S.O",Savar Kundla,Amreli,Gujarat
Abudi,362150,"Chitravad B.O,Talala S.O",Talala,Gir Somnath,Gujarat
Abudi,362560,"Bodidhar B.O,Una S.O",Una,Gir Somnath,Gujarat
Abvel,387650,"Abvel B.O,Nirmali S.O (Kheda)",Kapadvanj,Kheda,Gujarat
Acharal,383430,"Pratappura B.O,Idar S.O",Idar,Sabarkantha,Gujarat
Acharda,363421,"Bhoika B.O,Limbdi S.O",Chuda,Surendranagar,Gujarat
Achchhari,396105,"Achhari B.O,Bhilad S.O",Umbergaon,Valsad,Gujarat
Achhala,389001,"Godhra H.O,Godhra H.O",Godhra,Panchmahal,Gujarat
Achhala,389002,"Mahulia B.O,Godhra Bhuravav S.O",Godhra,Panchmahal,Gujarat
Achhali,391125,"Targol B.O,Bahadarpur S.O (Vadodara)",Sankheda,Chhota Udaipur,Gujarat
Achharan,394130,"Sandhier B.O,Sayan S.O",Olpad,Surat,Gujarat
Achhavadiya,385330,"Chalva B.O,Deodar S.O",Deodar,Banaskantha,Gujarat
Achhavani,396040,"Achhavani B.O,Khergam S.O",Chikhli,Navsari,Gujarat
Achhidra,362255,"Achhidra B.O,Sherbaug S.O",Maliya,Morbi,Gujarat
Achhod,392110,"Achhod B.O,Amod S.O",Amod,Bharuch,Gujarat
Achhopalo,394633,"Palawadi B.O,Gadat S.O (Tapi)",Vyara,Tapi,Gujarat
Achhuva,385566,"Sapreda B.O,Dhima S.O",Vav,Banaskantha,Gujarat
Achisara,391250,"Achisara B.O,Sadhli S.O",Sinor,Vadodara,Gujarat
Achrasan,382715,"Indrad B.O,Kadi S.O",Kadi,Mehsana,Gujarat
Ada Baria na muwada,389002,"Morva ( Rena) B.O,Godhra Bhuravav S.O",Shehera,Panchmahal,Gujarat
Ada Hathrol,383240,"Ada Hathrol B.O,Bamna S.O",Bhiloda,Aravalli,Gujarat
Adada,394370,"Khorda B.O,Nijhar S.O",Nizar,Tapi,Gujarat
Adada,396463,"Adada B.O,Sisodra S.O",Navsari,Navsari,Gujarat
Adadara,394115,"Ghodadra B.O, Panoli S.O",Anklesvar,Bharuch,Gujarat
Adala,363440,"Navagam (S) B.O,Sudamada S.O",Sayla,Surendranagar,Gujarat
Adalpura,389365,"Kanpur B.O,Ghoghmba S.O",Ghoghamba,Panchmahal,Gujarat
Adalsar,382775,"Adalsar B.O,Lakhtar S.O",Lakhtar,Surendranagar,Gujarat
Adalwada,389002,"Govindi B.O,Godhra Bhuravav S.O",Godhra,Panchmahal,Gujarat
Adalwada,389382,"Nalu B.O,Dhanpur S.O",Dhanpur,Dahod,Gujarat
Adalwada,391510,"Dhanora B.O,Jarod S.O",Savli,Vadodara,Gujarat
Adapur,383030,"Pedhmala B.O,Gambhoi S.O",Himatnagar,Sabarkantha,Gujarat
Adapur,383215,"Jorajini Muvadi B.O,Talod S.O",Talod,Sabarkantha,Gujarat
Adar Rathodna muwada,388713,"Padhiyar B.O,Kakanpur S.O",Godhra,Panchmahal,Gujarat
ADARSH NAGAR,390009,"Chikhodara B.O,Ongc Col S.O",Vadodara,Vadodara,Gujarat
ADARSH RESIDENCY,390009,"Tarsali B.O,Ongc Col S.O",Vadodara,Vadodara,Gujarat
Adasar,387540,"Dharoda B.O,Navagam S.O",Kheda,Kheda,Gujarat
Adbalka,360110,"Adbalka B.O,Paddhari S.O",Paddhari,Rajkot,Gujarat
Addharvandh,370511,"Pipar B.O,Sanghipuram S.O",#N/A,#N/A,#N/A
Adepur,383350,"Sisodara (A) B.O,Meghraj S.O",Meghraj,Aravalli,Gujarat
Adepur,383460,"Bhankhara B.O,Vijaynagar S.O",Vijaynagar,Sabarkantha,Gujarat
Adepur,389365,"Kharod B.O,Ghoghmba S.O",Ghoghamba,Panchmahal,Gujarat
Adepur,389365,"Mol B.O,Ghoghmba S.O",Ghoghamba,Panchmahal,Gujarat
Aderan (Danta),385120,"Navavas B.O,Danta Bhavangadh S.O",Danta,Banaskantha,Gujarat
Aderan (Mankadi),385120,"Rangpur B.O,Danta Bhavangadh S.O",Danta,Banaskantha,Gujarat
Adgam,384245,"Adgam B.O,Sami S.O",Sami,Patan,Gujarat
Adgam,394375,"Kulda B.O,Uchchhal S.O",Uchchhal,Tapi,Gujarat
Adhana,382728,"Thol B.O,Thol I E S.O",Kalol,Panchmahal,Gujarat
Adhelai,364313,"Velavadar B.O,Ratanpur Bhal S.O",Bhavnagar,Bhavnagar,Gujarat
Adheli,363040,"Chamaraj B.O,Dudhrej S.O",Wadhwan,Surendranagar,Gujarat
Adheli,388270,"Ucharpi B.O,Vardhari S.O",Lunawada,Mahisagar,Gujarat
Adhera,383250,"Adhera B.O,Tintoi S.O",Bhiloda,Aravalli,Gujarat
Adhewada,364002,"Adhewada B.O,Bhavnagar Takhteshwar S.O",Bhavnagar,Bhavnagar,Gujarat
Adhgam,385555,"Changa B.O,Thara S.O",Kankrej,Banaskantha,Gujarat
